Name,CodeName,Type,TypeName,Etat,SubEtat,DES,ETA,Worlds,Engines,OffsetBX,OffsetBY,OffsetHY,FollowSprite,HitPoints,HitSprite,FollowEnabled,ConnectedEvents,LabelOffsets,Commands
Livingstone Big (Tentacle Flower),always,0,TYPE_BADGUY1,0,0,LIV,LIV,1,R1-KIT-EDU,80,97,30,3,1,2,False,MS_ten,14-14-14-14-14-14-63-63-63-63-63-63-63-14,11-0-17-4-2-28-0-8-0-5-7-19-1-11-2-0-100-17-3-2-26-1-17-4-2-26-2-17-4-4-26-3-17-4-5-26-4-2-1-8-0-5-0-19-1-0-100-24-5-11-1-17-4-2-28-6-8-0-5-7-19-1-11-3-1-100-17-3-2-26-7-17-4-2-26-8-17-4-4-26-9-17-4-5-26-10-2-1-8-0-5-0-19-1-1-100-24-11-11-7-30-40-24-12-11-8-30-40-24-13-33-255
Livingstone Big,MS_liv,0,TYPE_BADGUY1,0,0,LIV,LIV,1,R1-KIT-EDU,80,97,30,3,2,2,False,,14-14-14-14-14-14-63-63-63-63-63-63-63-14,11-0-17-4-2-28-0-8-0-5-7-19-1-11-2-0-100-17-3-2-26-1-17-4-2-26-2-17-4-4-26-3-17-4-5-26-4-2-1-8-0-5-0-19-1-0-100-24-5-11-1-17-4-2-28-6-8-0-5-7-19-1-11-3-1-100-17-3-2-26-7-17-4-2-26-8-17-4-4-26-9-17-4-5-26-10-2-1-8-0-5-0-19-1-1-100-24-11-11-7-30-40-24-12-11-8-30-40-24-13-33-255
Flat Stone (Steady),MS_bst_wait,1,TYPE_PLATFORM,0,0,PIS,BST,3,R1-KIT-EDU,128,50,20,0,200,0,True,,,2-100-33-255
Flat Stone (Steady),MS_bst_wait,1,TYPE_PLATFORM,0,0,PIV,BST,5,R1-KIT-EDU,128,50,20,0,200,0,True,,,2-100-33-255
Cloud,MS_sic-MS_nuap-MS_gatp,1,TYPE_PLATFORM,0,1,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,64,0,12,0,0,0,True,,,2-254-33-255
Cloud (Bigger Hitbox),MS_nua_bigger,1,TYPE_PLATFORM,0,1,NUA,NUA,1-2-3-4-5-6,R1-KIT-EDU,80,0,18,0,0,0,True,,,2-254-33-255
Water Lily,MS_nen,1,TYPE_PLATFORM,0,1,NEN,NEN,1,R1-KIT-EDU,80,0,18,0,0,0,True,,,2-254-33-255
Plum Swing (Steady),MS_lia,1,TYPE_PLATFORM,0,5,NEN,NEN,1,R1-KIT-EDU,80,0,10,7,1,7,True,,,2-254-33-255
Plum Swing (Moving),MS_li2,1,TYPE_PLATFORM,0,6,NEN,NEN,1,R1-KIT-EDU,80,80,10,7,0,0,True,,,2-254-33-255
Pencil Sharpener,MS_ubi_taille,1,TYPE_PLATFORM,0,11,IPL,IPL,4,R1-KIT-EDU,80,80,4,0,0,0,True,,,30-250-33-255
