Name,MapperID,World,Type,Etat,SubEtat,Flag,DES,ETA,OffsetBX,OffsetBY,OffsetHY,FollowSprite,HitPoints,HitSprite,FollowEnabled,ConnectedEvents,LabelOffsets,Commands,LocalCommands
,always,Mountain,-1,2,3,Always,11,8,24,14,0,3,0,254,False,MS_BB1,,,11_0_0_100_6_4_11_1_1_100_6_4_33_255
,always,All,-1,3,0,Always,-1,-1,80,80,0,0,0,255,False,MS_skops,,,30_200_33_255
,always,All,-1,3,1,Always,-1,-1,192,128,170,0,1,254,False,MS_skops,,,2_254_33_255
,,Jungle,0,0,0,,15,12,80,97,30,3,2,2,False,,14_14_14_14_14_14_63_63_63_63_63_63_63_14,11_0_17_4_2_28_0_8_0_5_7_19_1_11_2_0_100_17_3_2_26_1_17_4_2_26_2_17_4_4_26_3_17_4_5_26_4_2_1_8_0_5_0_19_1_0_100_24_5_11_1_17_4_2_28_6_8_0_5_7_19_1_11_3_1_100_17_3_2_26_7_17_4_2_26_8_17_4_4_26_9_17_4_5_26_10_2_1_8_0_5_0_19_1_1_100_24_11_11_7_30_40_24_12_11_8_30_40_24_13_33_255,
Big livingstone,MS_liv,Jungle,0,0,0,,15,12,80,97,30,3,2,2,False,,,,11_0_17_4_2_31_4_8_0_5_7_19_1_11_2_0_100_17_3_2_15_2_17_4_2_15_2_17_4_4_15_2_17_4_5_15_2_2_1_8_0_5_0_19_1_0_100_12_2_11_1_17_4_2_31_4_8_0_5_7_19_1_11_3_1_100_17_3_2_15_3_17_4_2_15_3_17_4_4_15_3_17_4_5_15_3_2_1_8_0_5_0_19_1_1_100_12_3_11_7_30_40_12_3_11_8_30_40_12_2_33_255
,always,Jungle,0,0,0,Always,15,12,80,97,30,3,1,2,False,Flower tentacle,,,11_0_17_4_2_31_4_8_0_5_7_19_1_11_2_0_100_17_3_2_15_2_17_4_2_15_2_17_4_4_15_2_17_4_5_15_2_2_1_8_0_5_0_19_1_0_100_12_2_11_1_17_4_2_31_4_8_0_5_7_19_1_11_3_1_100_17_3_2_15_3_17_4_2_15_3_17_4_4_15_3_17_4_5_15_3_2_1_8_0_5_0_19_1_1_100_12_3_11_7_30_40_12_3_11_8_30_40_12_2_33_255
Steady flat stone,MS_bst_wait,Cave,1,0,0,,23,5,128,50,20,0,200,0,True,,,,2_100_33_255
,,Jungle,1,0,1,,16,14,80,0,18,0,0,0,True,,,2_254_33_255,
Steady water lily,MS_nen,Jungle,1,0,1,,16,14,80,0,18,0,0,0,True,,,,2_254_33_255
,,Music,1,0,1,,13,12,64,0,12,0,0,0,True,,,2_254_33_255,
