Name,World,Type,Etat,SubEtat,Flag,DES,ETA,OffsetBX,OffsetBY,OffsetHY,FollowSprite,HitPoints,UnkGroup,HitSprite,FollowEnabled,LabelOffsets,Commands
Livingstone Big,Jungle,0,0,0,Normal,13,10,80,97,30,3,2,4,2,0,14_14_14_14_14_14_63_63_63_63_63_63_63_14,11_0_17_4_2_28_0_8_0_5_7_19_1_11_2_0_100_17_3_2_26_1_17_4_2_26_2_17_4_4_26_3_17_4_5_26_4_2_1_8_0_5_0_19_1_0_100_24_5_11_1_17_4_2_28_6_8_0_5_7_19_1_11_3_1_100_17_3_2_26_7_17_4_2_26_8_17_4_4_26_9_17_4_5_26_10_2_1_8_0_5_0_19_1_1_100_24_11_11_7_30_40_24_12_11_8_30_40_24_13_33_255
Livingstone Big (Tentacle Flower),Jungle,0,0,0,Always,13,10,80,97,30,3,1,7,2,0,14_14_14_14_14_14_63_63_63_63_63_63_63_14,11_0_17_4_2_28_0_8_0_5_7_19_1_11_2_0_100_17_3_2_26_1_17_4_2_26_2_17_4_4_26_3_17_4_5_26_4_2_1_8_0_5_0_19_1_0_100_24_5_11_1_17_4_2_28_6_8_0_5_7_19_1_11_3_1_100_17_3_2_26_7_17_4_2_26_8_17_4_4_26_9_17_4_5_26_10_2_1_8_0_5_0_19_1_1_100_24_11_11_7_30_40_24_12_11_8_30_40_24_13_33_255
Waterlily,Jungle,1,0,1,Normal,16,13,80,0,18,0,0,4,0,32,,2_254_33_255
Cloud,Music,1,0,1,Normal,13,11,64,0,12,0,0,4,0,32,,2_254_33_255
Cloud,Mountain,1,0,1,Normal,13,10,64,0,12,0,0,5,0,32,,2_254_33_255
Cloud,Mountain,1,0,1,Normal,13,10,64,0,12,0,0,4,0,32,,2_254_33_255
Cloud,Cave,1,0,1,Normal,14,12,64,0,12,0,0,4,0,32,,2_254_33_255
?,Cake,1,0,1,,17,16,80,0,18,0,0,4,0,32,,2_254_33_255
Cloud,Cake,1,0,1,Normal,17,16,64,0,12,0,0,4,0,32,,2_254_33_255
Plum Swing (Deactive),Jungle,1,0,5,Normal,16,13,80,0,10,7,1,4,7,32,,2_254_33_255
Plum Swing (Active),Jungle,1,0,6,Normal,16,13,80,80,10,7,0,4,0,32,,2_254_33_255
Pencil Sharpener,Image,1,0,11,Normal,13,7,80,80,4,0,0,4,0,32,,30_250_33_255
Yinyang (Static),Image,1,0,14,Normal,13,7,90,64,10,0,1,4,254,32,,30_250_33_255
Power Up (1HP),All,2,6,0,Normal,2,1,80,32,0,0,1,7,254,0,,2_254_33_255
Power Up (1HP),All,2,6,0,Normal,2,1,80,32,0,0,1,4,254,0,,2_254_33_255
Power Up (2HP),All,2,6,1,Normal,2,1,80,32,0,0,2,4,254,0,,2_254_33_255
Power Up (2HP),All,2,6,1,Normal,2,1,80,32,0,0,2,7,254,0,,2_254_33_255
Electoon,Jungle,3,2,1,Always,12,7,16,62,44,0,0,7,0,0,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255
Electoon,Music,3,2,1,Always,10,6,16,62,44,0,0,7,0,0,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255
Electoon,Mountain,3,2,1,Always,12,7,16,62,44,0,0,7,0,0,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255
Electoon,Image,3,2,1,Always,14,8,16,62,44,0,0,7,0,0,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255
Electoon,Cave,3,2,1,Always,13,9,16,62,44,0,0,7,0,0,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255
Electoon,Cake,3,2,1,Always,14,11,16,62,44,0,0,7,0,0,1_1_51,11_1_8_1_5_0_19_5_8_0_5_0_19_2_8_1_5_0_19_4_8_0_5_1_19_1_8_1_5_0_19_6_8_0_5_2_19_2_24_0_11_0_8_0_5_4_19_1_24_1_11_2_30_200_24_2_33_255
Mushrooms (Jumping),Jungle,4,0,0,Normal,16,13,80,0,0,0,0,4,0,0,,2_254_33_255
Birds,Mountain,4,0,0,Normal,21,15,18,32,0,0,0,5,0,0,,2_200_33_255
Musician's Family,Mountain,4,0,2,Normal,21,15,18,32,0,0,0,5,0,0,,2_200_33_255
Torch (Background),Mountain,4,0,2,Normal,20,14,80,50,18,0,200,1,0,0,,2_250_33_255
Mushrooms (Dancing),Jungle,4,0,3,Normal,16,13,80,0,0,0,0,4,0,0,,2_254_33_255
Flower (Dancing),Jungle,4,0,4,Normal,16,13,80,0,0,0,0,4,0,0,,2_254_33_255
Butterfly (1),Jungle,4,0,30,Normal,16,13,80,0,0,0,0,4,0,0,,2_254_33_255
Butterfly (2),Jungle,4,0,31,Normal,16,13,80,0,0,0,0,4,0,0,,2_254_33_255
